total_number_routes=69
total_route_len=2999616.396
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 29903.687 1500 2001-18-1735-254-858-659-431-1497-688-647-1223-404-1641-1648-1154-220-913-1200-1027-626-1140-1297-1884-1733-1394-264-1302-1832-170-338-818--2001
2 76044.260 1655 2001-96-1824-1578-892-1290-1426-313-64-461-1385-627-859-102-1150-310-240-1229-594-1602-1378-1198-1839-608-697-1435-59-1587-924-863-121-620-1574-1121-684-528-1325-403--2001
3 52719.574 1425 2001-107-827-1827-548-1710-1701-799-166-1361-1184-1850-385-1657-1970-1982-1256-696-886-1986-993-490-380-946-9-69-779-1073-359-646--2001
4 57169.698 1981 2001-278-1592-1343-699-746-736-185-1215-1773-943-273-24-257-634-1508-708-1068-982-1776-1910-368-213-964-1128-584-1489-1318-58-1931-1418-1812-164-772-1806-515-374-599--2001
5 34485.326 536 2001-382-539-1977-1521-1706-1330-1771-1115-201-597-70--2001
6 44683.508 1548 2001-569-1841-1823-468-604-816-153-1342-1788-877-1909-176-1694-533-1035-996-1895-1704-965-1241-1338-553-1153-1246-1219-105-1289-987-1993--2001
7 30739.456 1757 2001-596-1656-762-781-187-13-819-1457-1476-1411-1842-1767-1151-205-1090-537-1505-1132-474-415-1935-1716-1950-1925-1536-1396-464-1442-1945-475-1729--2001
8 26589.325 760 2001-614-575-1316-1902-234-589-655-1819-932-1515-494-241-1538--2001
9 64922.182 1986 2001-680-1794-26-1544-686-253-1236-238-1778-909-1625-1946-901-1040-230-115-1686-1053-1369-1048-636-1929-1843-538-141-1059-1188-942-1628-845-1954-118-1743-1400-1157-1247-1187--2001
10 14115.109 364 2001-709-945-1972-1311-366--2001
11 37463.830 1953 2001-720-1336-417-1423-212-1834-591-578-302-78-583-1067-775-551-1952-1370-91-363-1433-766-126-853-1084-1065-263-1727-846-1211-1502-1962-1565-328-444-756-1997-1671--2001
12 83167.095 1949 2001-755-1772-1668-129-1270-545-1013-1492-1387-601-1173-460-1445-957-1983-1561-1828-747-712-1821-631-1959-32-269-896-1933-207-21-1352-689-1220-1548-167-780-592-817-793-25-1261--2001
13 35754.210 284 2001-782-1258-1430-893-1494-435--2001
14 48637.266 1151 2001-878-1582-161-513-159-479-155-1353-690-1607-509-1734-787-1346-1722-1093-1122-1961-776-275-1512-935-1453-1647--2001
15 29243.815 561 2001-949-841-1018-610-389-478-1417-128--2001
16 53522.013 1559 2001-1015-106-1863-1780-1408-1481-1901-1926-1618-1820-1149-1095-1052-395-1681-1793-1296-1654-568-1781-794-967-112-1638-814-1975-93-809-1020-144-1994-276--2001
17 49985.011 1141 2001-1063-911-1908-577-407-215-1253-731-1112-1782-999-1810-61-1191-1243-1231-1283-307-1189-703--2001
18 45052.127 1956 2001-1070-1427-1367-683-1703-1107-844-1395-1410-1921-1511-1416-929-761-186-1007-511-764-1829-1163-169-286-1345-1553-1001-1402-1906-1968-274-1923-503-396-984-939-1299-1126-976--2001
19 48555.509 1905 2001-1071-801-530-1413-1179-835-1208-828-349-336-1673-1530-1779-34-53-1166-208-717-66-1469-222-1455-211-1719-425-1845-640-1130-351-322-873-450-191-430-1900-786-341-1672--2001
20 43034.190 1255 2001-1224-1571-219-79-1709-571-1317-1237-381-905-304-1507-523-1374-1825-1790-1537-1550-1210-795-1180-1449--2001
21 63037.100 1056 2001-1315-1873-1194-1213-281-1974-1282-1080-1890-1936-1927-353-402-432-1285-769-45-637-354-616-1564-49-1559-1510-1091-289--2001
22 32712.221 1745 2001-1357-1568-183-44-10-1609-199-1077-784-894-1924-39-1944-1462-516-938-1581-156-1046-1562-566-1222-907-1333-668-1235-1659-1519-1443-648-1363-657--2001
23 29494.652 1276 2001-1393-1245-874-855-1798-1883-103-1307-1496-1754-1275-290-1808-785-1088-611-150-790-1633-1999-564-985--2001
24 65892.125 1692 2001-1539-335-1348-1158-1133-649-968-1422-1419-1409-880-1634-906-200-558-600-1106-433-1113-472-898-1669-1731-1637-365-757-1864-245-410-520-1552--2001
25 59472.209 1675 2001-1723-966-451-674-692-1032-1579-1044-1294-921-1523-1114-918-763-706-85-884-309-1632-1594-449-148-1292-1239-448-1766-1617-86-887-358-1471-419-1134-1475--2001
26 26954.263 1992 2001-1876-1963-735-1377-989-1718-902-1665-803-628-1879-1985-1588-512-1631-1234-1757-698-1421-621-1655-1216-1509-393-1450-694-311-27-885-919-1165-378-1613--2001
27 42746.536 1318 2001-1984-57-623-250-1870-1177-1202-872-1026-38-14-1214-1056-1155-544-259-1314-868-1836-830-1012-1228--2001
28 34145.997 1755 2002-4-23-1857-1487-944-1711-1919-609-1463-934-1822-1973-876-255-1136-1240-31-6-726-951-973-1949-1432-181-555-1424-1368-3-1460-1279-670-135-15-792-1646--2002
29 103292.346 1993 2002-16-931-1712-1254-1381-1761-149-1201-739-266-1614-1028-1732-140-1837-231-1212-491-1661-1816-912-1674-1404-362-783-1398-1183-1146-256-1800-953-372-1535-113-1389-426-1517-1918-469-1004-41-146-1055-192--2002
30 40121.661 1538 2002-17-471-443-411-1833-1042-972-194-1991-1726-800-1399-1221-1060-1608-1560-1804-1995-294-1185-35-295-914-1380-92-1738-1437-1277--2002
31 63925.368 1726 2002-54-1332-549-1501-82-1636-789-1131-158-327-1805-1086-978-669-796-588-518-664-700-284-1298-1008-1683-1547-1891-28-492-728-364-550-438-1334-1412-348-162--2002
32 57489.226 1555 2002-73-1874-1371-1558-1477-510-414-1789-334-43-1192-270-285-367-405-1624-1518-1769-1100-177-493-65-1495-1692-585-333-981-1376-1019-454-252-1626-1844-675--2002
33 18282.321 1266 2002-133-1300-151-619-216-46-603-1642-1799-1098-1414-1359-1441-820-1230-8-109-496-1748-246-1783-347-602-962-483-1697--2002
34 20254.803 1734 2002-227-1596-1649-644-1717-1141-67-881-1835-1278-1110-412-975-1728-76-1965-232-1288-759-875-1058-1397-1446-1152-1695-1867-1109--2002
35 45670.333 1572 2002-283-1249-326-436-1663-1851-1826-56-1915-1763-656-1871-1967-1755-807-314-1813-1840-1038-595-373-1682-514-915-1269-1415-532-137-567-1696-1937-1002-386-1527-749-1037-1123-535-1768--2002
36 82059.079 1912 2002-303-1473-826-356-958-1989-1148-418-897-1428-462-661-910-143-741-453-280-1326-1698-1585-1966-724-473-1388-1350-1644-663-1862-1619-1848-1516-218-928-732-994-1583-94-308-971-1034-1118--2002
37 11253.356 632 2002-342-1250-1061-890-20-1724-1639-1354-718-55-1687--2002
38 21259.666 1753 2002-357-507-1386-1023-1987-742-1108-653-1101-1603-134-1546-1138-1162-1630-1956-383-131-1913-1142-1043-1960-593-1591-420-660--2002
39 14274.067 429 2002-423-758-77-840-1082-970-1872-1784-559-1089-1403-1815--2002
40 8350.681 531 2002-463-1444-1791-1062-752-1117-81-917-195-1947-1803--2002
41 17962.821 753 2002-517-1478-221-1802-1094-1479-465-1268-504-1750-1896-1892-665--2002
42 35201.933 835 2002-560-1016-442-1667-1072-774-1461-1611-836-1882-1195-1248-298-1488-521-1066-834-1887-1676--2002
43 70223.309 1943 2002-673-645-296-1640-543-730-1976-1322-821-642-1351-1309-160-1137-485-268-1104-1392-291-1855-1206-1287-1934-725-42-1760-1169-1691-947-823-40-1955-391-1689-130-576-1690-292-355--2002
44 58503.164 1781 2002-691-1503-1610-573-476-398-1197-80-883-1898-297-502-452-1752-974-1580-1135-632-459-116-1758-1452-421-829-580-995-900-1747-1597-598-1010-1092-1566-990-1047-1375-1076-19-1664-22-622--2002
45 22907.620 1974 2002-733-561-1438-247-1030-390-1969-842-100-740-1470-315-743-1434-1979-941-1849-1420-933-1652-1570-1725-1102-767-1456-722-193-1893-625-499-95-1465-210-1054--2002
46 9656.123 215 2002-750-937-1176-1111--2002
47 49141.621 583 2002-751-1869-702-1988-1310-936-369-1567-815-1957-217--2002
48 31725.948 1547 2002-802-340-1721-1623-1524-650-1406-1866-582-197-959-416-1914-482-497-770-1590-1807-111-1875-1889-1928-90-527-791-1854-1127-500-457-1599-1621--2002
49 41501.137 1185 2002-916-1203-1480-954-506-1328-998-12-122-29-1917-127-339-455-288-319-1498-466--2002
50 51661.286 1672 2002-925-84-1830-1347-1021-1041-508-1276-940-182-1033-1272-202-737-1998-1105-1482-607-1651-1286-754-658-1785-586-825-1382-605-613-833-948-239--2002
51 33112.417 1530 2002-960-1049-138-1616-384-439-848-1951-1226-1555-467-980-1360-1099-857-1050-1341-36-1941-1542-1520-1281-350-1327-470-1331-1045-1549-1074-1217-1880-1958--2002
52 40678.538 880 2002-988-1670-99-1529-1391-1451-484-1736-1175-1575-312-489-1756-777-101-891-1466-721--2002
53 61635.917 1933 2002-1009-434-1853-677-557-301-1358-1174-1601-1903-1677-501-666-178-1383-522-229-422-1759-635-1878-11-1920-679-142-570-1586-1796-1291-330-1569-429-320-242-768-1700-235-168-388-299--2002
54 34135.631 1728 2002-1147-729-1746-477-813-734-145-409-854-1244-2-798-1384-1528-33-581-1745-808-1814-1355-1904-838-867-1622-486-851-1506-1948-123-321-531-1740-114-1075-456-1846-1252-237--2002
