total_number_routes=293
total_route_len=6784751.854
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 36177.277 1979 10001-30-5577-7923-8142-5406-2230-420-2160-1661-2879-5186-9945-8351-2958-787-481-9027-3986-7180-9013-2929-1057-9619-533-2227-9069-5620-2187-7587-3770-2533-8982-2774-8503-5045-4576-1395-4782--10001
2 33082.751 1689 10001-49-9211-4960-2523-3326-5885-2411-6684-2766-3555-3181-4426-8522-2141-3438-6638-8673-5320-2861-6278-9383-6975-9702-2953-5808-4643-7046-1746-8204-5125-9329-9203-4579-5481--10001
3 26665.088 1776 10001-227-3057-7563-8275-9971-1115-4411-2467-4314-8186-8714-5939-6061-2572-5607-5060-5685-4467-2384-4706-3366-7789-6478-2853-1644-2146-3761-5382-3532-9397-1754-8247--10001
4 15325.409 1699 10001-242-8960-9277-7173-3531-7448-1381-6058-6756-9485-4511-8632-2214-57-8221-5076-9086-2118-4124-4440-4256-9755-86-7585-4359-9353-6415-801--10001
5 46015.159 1875 10001-244-4079-6794-613-6312-4312-3152-3180-3445-9831-1228-2975-7116-5399-5804-4696-2608-1858-5494-4915-6864-8562-3631-315-9083-1127-6889-1236-7733-2192-2910-1138-948-2811-8507-612-3476-5224-3292-414-9992-4848-3024--10001
6 24042.514 1962 10001-323-4161-264-1159-1160-4316-7057-4614-5498-3469-8001-2629-5951-5216-7550-3580-5745-838-1180-3408-8809-9513-4005-6652-9215-7873-5190-551-412-8845-6231-3314-6906-8585-866-991-7559--10001
7 30627.344 1910 10001-444-7990-4478-514-9412-6661-2569-2675-130-3819-7041-6848-803-9774-4372-6916-2505-3212-784-7033-4159-156-5896-411-4481-2784-3758-2194-9587-9132-5116-5996-2040-728-6598-8900-1558-1141-898-4944--10001
8 33173.972 1979 10001-836-5596-1887-9080-3395-9494-1421-4024-3749-9025-3132-9371-8975-204-265-9241-8799-1216-5329-6532-5666-6423-5416-5868-6154-8086-6265-2751-4947-8597-9857-1001-5782-7099-7668-263-1272-7453--10001
9 13251.825 1717 10001-946-2034-2045-7889-8863-8370-3220-2897-4758-272-2957-8686-8182-9425-1877-3590-9674-9166-7418-7083-7676-5593-751-7279-2113-9294-4711-307-8477--10001
10 18263.846 1993 10001-1436-2943-1799-8721-4037-7543-4284-1307-1543-999-1679-6277-8483-2528-8971-1490-1182-9739-6042-821-634-4120-8408-7528-2787-663-4169-2993-8705-5072-6408-7606-1326-6190-8768-5765-4221-1547-6137-4203-1817-6649-6563--10001
11 20116.170 1935 10001-1627-1745-3792-9168-148-1979-4751-8480-486-7865-652-8064-1705-5900-5624-9956-2260-7588-7960-9554-9310-2243-4650-6947-1458-2284-63-4832-7969-3703-8946-8903-3373-9360-2601-3768--10001
12 13246.125 1168 10001-1908-5084-6547-1994-5526-5936-126-2095-933-5152-6895-8517-5703-6453-7647-6086-2875-3709-2832-4627-3864-3067-5998--10001
13 15233.013 1766 10001-2525-7361-2474-2669-4905-6205-6301-2013-2567-9973-9703-2245-1015-8840-3496-974-4121-6847-9611-1707-2333-6780-9399-8344-2193-1306-4563-9341--10001
14 31151.490 1988 10001-2948-3134-6742-651-2139-9154-3912-7493-7454-9197-8191-311-8693-8266-2931-6934-3458-8730-1459-1446-4834-2941-9454-4747-7845-6815-2213-8757-8848-9100-5102-2246-2907-1243--10001
15 18009.671 1817 10001-2961-5548-1361-2864-7711-6605-4237-6075-6118-2684-3145-1390-163-2764-7666-909-3977-1620-9809-1121-6704-2697-1947-6911-7297-8121-1883-6673-4885-6021-9234-759-2777-8473-9634-8371-507-3300-4428-5067--10001
16 27168.391 1727 10001-3214-2639-8169-3364-2224-8366-8958-8192-5581-6476-653-1564-6350-6823-3146-4378-4642-5225-5649-3965-3337-6361-6414-6036-906-7038-6834-9442-3855-6616-4270-1796-7065-6520-6166--10001
17 29514.746 1920 10001-3371-9623-3786-7365-491-313-8115-5580-3131-6663-6579-298-5317-9022-7951-9617-4742-5911-8426-4341-2749-3944-2537-7795-3338-5987-2586-899-6529-2181-9107-8886-9068-5109-9801-3998-3070-3144-4419-5360-3991--10001
18 11965.327 1546 10001-3911-9526-4946-795-3130-8753-2541-9098-9156-1263-5276-2102-2062-8523-1471-4248-4385-928-1611-5912-216-3705-439--10001
19 32577.019 1953 10001-3925-351-1760-6950-5940-3247-4240-3414-4325-8784-1461-320-282-1542-7217-5104-5553-9299-2829-4064-6317-9750-2672-2982-5869-4844-5397-4100-226-3105-6108-9967-6721-4927-353-3217-5041-3783-8803-248-7158-721-8006-3818-7227-7353-1271-4232--10001
20 22020.787 1954 10001-3997-4129-5680-1920-3554-6279-1450-6962-3051-7731-9974-1489-608-9345-186-7765-704-540-452-7456-2-8861-4503-5956-1827-719-6209-5008-5148-8277-7887-5736-5832-9480-6081-3613-7049-2261--10001
21 27087.891 1703 10001-4096-5856-6486-5422-2044-3527-4157-2979-4783-8895-9064-7163-5264-2963-2908-2014-6433-2719-9599-9997-6745-1519-8639-1150-5986-1424-6606-1422-2075-9104--10001
22 7838.697 705 10001-4112-8709-4109-2355-9664-3803-8193-544-9813-9242-2314-6120-7487--10001
23 20419.113 1984 10001-4134-7237-8265-3893-8538-6009-9728-2865-9361-3637-1937-7824-5295-722-7974-3611-4880-2834-3801-3502-70-7062-5571-6435-4103-3246-9581-9916-9247-8393-8628-9015-7818-4826-7603-4208-6787-9250-9084-3196-2031-4545-7958-5408--10001
24 15860.377 1821 10001-4494-7718-9390-3059-91-6403-4713-9161-5108-1084-7752-8662-9451-4805-7022-1051-8485-8966-8918-9151-6509-4384-9866-7097-2730-9356-2318-7767-5112--10001
25 34841.318 1970 10001-4635-7504-6082-8422-1595-1777-2251-39-6377-7495-1645-5534-2065-8601-7490-3800-4298-6196-802-9754-4649-894-9621-3418-499-8832-8826-9640-3493-9178-7464-55-9672-3319-9652-6174-7552-7793-4525-4644-9121-9230-1139-8906--10001
26 16423.279 1833 10001-4670-5630-5469-5910-8992-3919-6188-7661-5169-1672-7735-3696-7401-1631-7055-435-3976-2341-7154-178-8296-8945-9023-9155-2406-9444-388-8699-7518-8002-5614-2494--10001
27 13621.653 1569 10001-5064-1533-8447-3097-3570-638-2435-4886-6360-9436-7832-9637-5293-8719-8711-3985-1378-6132-2616-4448-4319-4176-5179-9375-5909-6066--10001
28 20554.393 1967 10001-5130-7027-5777-2003-8038-2101-1190-2212-8-6316-7610-4550-5058-2641-3730-3415-4575-5340-5134-3164-1344-6550-3185-9891-2531-6194-5146-993-1116-6671-172-2373-2603-7457--10001
29 26570.578 1978 10001-5387-8087-4158-7406-5682-4197-9008-9439-1086-852-951-4450-814-7141-9707-5015-9819-740-3543-6123-3411-6989-2091-4629-954-9868-2971-2823-8090-3759-1296-5573-7214-7014-5845-2759-3938-7507-6334-5335-5496-5817-5792-6566-3431-5866-9339--10001
30 19435.381 1808 10001-5437-3421-656-1626-6592-2338-5947-1276-5997-1826-5334-3462-3581-9088-5928-6587-7748-9478-1253-5719-695-5725-3796-3388-2234-3497-7736-3560-7883-4683-1767-8814-4657-5442-4955-2170-4819-3647-3255--10001
31 32893.185 1848 10001-5483-926-124-479-1266-9547-4051-4181-9954-6594-8990-3861-4680-8571-3542-1968-8988-6971-4715-5945-587-2297-1768-4433-3946-6852-9766-7973-4464-1844-1393-6518-7196-6818-9464-911--10001
32 16990.600 1709 10001-5616-3211-3193-3960-3106-9237-7530-8605-1079-3815-5898-3972-2130-9326-2274-3704-2072-7223-7505-880-1610-4723-8058-316-2174-8228-9771-676-7783-4389-1353-2924-4849-8130-1804-3941-8818-4584-8073-4452-645-4193-8500-8894-4956--10001
33 14991.142 1775 10001-5644-6378-1888-9293-2047-5420-7844-1350-9964-9948-9874-4190-1067-4522-8301-8957-9006-1262-8439-9790-6269-618-9688-9085-7474-2280-8205-9404-689-5302--10001
34 26083.419 1895 10001-5821-3095-6251-7536-3377-1080-2880-2138-857-5992-1145-3207-1043-5695-3814-9795-5435-1173-1939-9704-8372-5480-7625-5492-1368-6942-131-9185-9572-4486-744-7930-5235-1242-5160-8178-1914-4820-3779-8454-7825--10001
