total_number_routes=274
total_route_len=8681006.716
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 38473.920 1504 10001-87-4252-3965-5607-1657-5747-6215-5795-8307-1944-9402-6796-5148-6475-3821-8714-7521-923-2675-3091-5491-1390-3682-3522-3943-9323-1214-6024-6983-5452-9161-6295-9532-7411-8471-7846--10001
2 28563.303 1915 10001-104-2770-3231-7855-5564-6741-7913-9850-34-2758-5097-8568-8373-7319-2610-613-1416-9678-7746-9327-7336-568-3177-1136-6042-5437-8101-3673-8523-7128-9530-7245-1571-2423--10001
3 46026.505 1833 10001-113-1844-5157-9580-5363-4440-340-6969-5273-5690-4139-3116-6620-8028-8820-3409-787-2049-9072-6134-9751-3315-5704-543-6027-7443-8595-7409-8608-9265-2587-1615-935--10001
4 18547.740 1925 10001-140-3677-3765-176-9364-9861-2785-9937-3823-917-8931-3159-9647-4386-4710-6458-1882-9351-4287-1295-9396-3189-227-3184-4462-9365-1655-8293-1340-7963-4073-5575-6161--10001
5 67611.731 1998 10001-149-7235-2164-8949-7398-6071-6416-3876-8731-2161-9441-6940-4006-2605-190-2367-8813-6279-5424-9691-9616-1206-2751-8753-9933-2045-4003-7723-3672-839-5518-4143-5169-9606-6696-3299-2881-1793-7171-5494-7006-2156--10001
6 46246.327 1977 10001-150-9108-3879-7681-1907-8246-6052-7629-7894-4354-5666-8996-3941-3008-5081-1352-6997-3427-8154-5116-682-5139-2042-5676-1629-6130-937-5133-7533-9787-2480-4793-1771-3645-4329-2245-2040-5938-2222--10001
7 31281.637 1923 10001-180-3520-5827-5951-4262-8775-6975-6330-7754-1540-7229-3861-1157-7004-7085-6905-9719-8021-4057-3794-573-304-2712-6681-5406-8580-810-1572-5520-554-8992-7224-8334-3713--10001
8 19003.204 1909 10001-231-7524-9305-7401-5524-4910-3027-3952-1818-8078-9763-7942-8378-7745-1873-483-9690-914-1002-1315-5878-8721-711-5775-2254-8705-9475-3540-2331-3695-5646-8660-5488-918-4645-7227--10001
9 35113.493 1984 10001-232-1425-6464-408-644-9777-5257-7948-2237-47-9575-4337-4068-2099-6836-9410-9117-3463-3278-5180-2595-4184-9517-7372-9282-6443-6492-8771-1981-2952-679-7637-6385-2530-7797-6531--10001
10 18382.160 1980 10001-248-8439-2950-1980-7707-1468-2502-215-6306-7046-6742-6668-7173-8558-2774-2818-6266-6694-1393-2842-2232-3954-8589-1462-9534-2197-9524-5628-3565-6917-7710-6501-7209-7513-8865-1123-2266--10001
11 17488.551 1927 10001-300-4566-8235-709-1563-3169-2734-9779-2683-9165-8422-7557-3799-4037-2681-1239-8862-3790-6780-2175-6176-9470-5609-1159-8898-6072-8593-7781-6911-7567-5073-9834-8441-2262-8188-2843--10001
12 16090.786 1927 10001-307-3339-1163-9467-2052-9822-2782-1621-6148-3791-8360-7156-1822-6311-916-6364-3149-9406-8340-5576-4894-4340-9192-137-8920-3373-4094-4857-6277-9887-8371-9731--10001
13 8599.696 552 10001-315-1711-2708-5210-8388-5107-4219-1456-55-1360-8573-1861--10001
14 24809.598 1770 10001-363-3086-8221-2297-6872-7570-5324-5557-825-6462-4591-1247-1222-8093-2497-1419-1152-3212-1309-9923-9693-9448-4594-4688-174-2654-5737-7416-1094-7180-1162-7486-488-6257-8482-4911-2327--10001
15 65562.381 2000 10001-384-8104-1553-9190-2456-3813-2994-5447-3214-3651-9832-6922-1251-3186-6299-7734-925-5083-3632-8341-6542-657-2274-5740-5621-1065-9853-3659-9082-7323-4491-5651-4274-383-3497-7169-9221-4916-2583-6845-3024-5600-5960-9984-3627-4664--10001
16 18758.792 1950 10001-419-4605-4799-7501-1100-5225-2378-3648-6926-7378-3635-6434-5921-4937-5946-4805-2137-1633-8005-4140-6068-7210-4250-3961-6781-7165-6224-1650-9215-7052-7076-5563-9126-9904-8257-5125--10001
