total_number_routes=169
total_route_len=6052084.205
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 9729.501 625 6001-26-1344-82-404-3565-5008-3598-4452-5501--6001
2 59765.188 1996 6001-27-4887-3160-4561-2075-1791-5254-1966-1419-1753-790-3174-190-2756-4747-2237-4207-4598-3564-1703-1517-4842-1301-3229-3791-685-5932-912-900-260-699-5273-3798-1683-808-1194-2910-3247-3907-3940--6001
3 22206.651 1897 6001-105-1853-2645-3702-24-1691-2301-5673-5739-4622-3931-3531-897-4430-1979-2613-1072-5841-5386-4032-4618-3298-607-2606-1442-529-5969-4037-2143-2049-1270--6001
4 50284.796 1959 6001-112-5185-302-5106-3290-4990-2623-1100-3619-5863-4121-4609-1374-4354-3385-5279-4639-3588-1454-2320-1040-154-1056-2602-947-5779-2141-2632-3902-4012-1070-1443-5167-421-3352-5740-2030-196-5468-4057-3344--6001
5 15914.977 1950 6001-219-2203-4938-2908-51-622-4806-5344-1494-2461-2497-1299-5908-1782-819-2477-3966-374-4351-4301-5448-5720-2520-149-5180-3765-1142-1527-4926-5410-2592-1574-773-545-1700-258-4418-1131-3662-5006--6001
6 53637.535 1990 6001-244-1126-4453-475-3183-316-4228-2603-4820-1157-513-2065-4372-733-4210-3985-5748-4526-885-214-416-5253-3256-5746-2633-79-965-3097-5172-3475-1255-4647-5246-5475-3218-794-4969-3721-4144-2085-5705-5672-2213--6001
7 90352.383 1788 6001-263-1841-3258-2063-4466-2098-3805-2769-1550-3744-1372-324-2212-830-5311-595-1816-1817-5353-65-202-4462-3639-3391-2938-839-5117-1251-3665-5217-127-666-2335-3509-2309-1038-2802-5510--6001
8 28867.322 1813 6001-319-2069-730-4714-967-1075-3162-5900-1892-2077-569-5950-5435-1230-120-5814-2799-5055-2884-3423-5237-4967-4380-5232-5261-5505-3463-5719-1525-4895-2843-3562-5446--6001
9 37418.801 1977 6001-464-3552-3687-3219-2860-2785-4813-678-4391-5634-2519-259-3033-1262-415-648-2430-2628-4750-4352-2960-4512-4602-987-2045-2360-2819-1199-3233-188-1765-2594-4856-3488-4902-2230-5199-3808-4780-3921-786-2764--6001
10 33605.475 1817 6001-498-3499-718-4368-1347-3129-193-4791-1112-1124-3283-577-2757-5443-5837-5487-3719-5359-3209-3778-1754-3539-5881-1503-984-4436-5800-3611-5040-2737-268-6000-2524-4288-4420--6001
