total_number_routes=218
total_route_len=7372345.128
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 52224.992 1998 8001-1-5869-280-1600-4095-7863-5092-4899-1753-6151-2141-2506-992-6840-7596-2081-6515-5026-10-2214-5270-6426-1346-5239-1337-5640-2458-5495-4309-1235-6927-1338-7484-2145-4385-6000-3934-6979-7436--8001
2 7502.469 878 8001-221-5086-109-4872-986-3023-2120-2073-5943-6287-6351-8-269-704-108-3454--8001
3 18362.385 1452 8001-225-3169-3770-4463-2664-5050-7115-2347-7887-7471-6776-1607-6090-6095-5259-1006-7225-5546-6377-5409-2760-7687-5993-6913-6034-1636-784-1558-4360-1299-3102-5656-4776--8001
4 42184.420 1953 8001-406-6634-385-6198-2602-5264-2846-3186-7556-5302-5381-7301-5564-6057-773-7305-3745-5976-7719-3749-2153-6447-1694-1964-3877-229-2336-1341-2276-3237-5028-1576-494-4947-342-1838-5817--8001
5 21199.149 1817 8001-411-2718-1725-674-7747-6825-5402-7690-205-3070-4896-7230-3697-4197-628-5040-7149-1766-13-7810-318-6883-1201-3313-4196-2716-3008-7645-909-349-5145-2635-7385--8001
6 47740.879 1875 8001-431-5431-2300-1510-6732-22-1166-6281-5350-4754-5552-2805-1258-2277-5628-1649-4239-398-2598-4156-7459-3459-4470-7178-4250-7572-236-975-6002-4661-915-1613-4467-61-4575-3239-5403-6881-1894--8001
7 45753.127 1994 8001-484-3540-4955-6555-781-3235-6735-7022-7529-5720-2346-7728-1647-1456-2672-737-646-6038-6507-7524-4855-6952-1149-234-420-7501-5952-6675-1869-2886-1233-6304-7866-1692-1352-6713-2874-1438-768-7300-7917--8001
8 20462.452 1969 8001-485-5593-3686-2666-7743-3801-4230-7955-4473-4462-6334-2422-2382-6861-6449-343-1601-6374-87-2144-5379-2123-7297-3812-183-1411-7892-1815-7688-2750-7638-6174-2753-6622-4091-2569-7636-5771--8001
9 12969.307 1895 8001-517-6468-4578-3899-3846-4269-1323-5525-618-3497-2702-777-3841-181-1273-6641-7821-12-308-5293-952-1540-6836-1308-2550-3837-7920-6483-5230-3346-4252-3039-7613--8001
10 43983.690 1892 8001-542-7398-245-4706-5439-4144-6640-5482-5914-7437-4725-2583-6655-7835-2825-5338-1042-1565-4494-3663-6033-6582-2344-2793-6834-5529-3886-5234-4905-6730-7531-5041-6134-3065--8001
