total_number_routes=235
total_route_len=6238438.386
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 43054.771 1541 8001-50-4601-7465-6880-2012-7363-717-4810-1877-1663-2725-2167-2403-1303-4402-3292-1498-5658-7033-7463-3234-6261-978-5417-673-3680-5519-1639-7108-1903-3522-1158-2724-5151-2996--8001
2 43502.094 1994 8001-103-4220-5394-1693-7962-7872-218-2506-1520-7259-6121-3675-7265-3410-6916-6834-770-141-916-4861-6299-7021-6110-4417-4708-2084-379-96-1642-4638-7123-5922-3729-1962-3718-5093-722--8001
3 44769.392 1944 8001-253-2709-2052-4639-188-540-7395-5020-7437-4666-7799-2680-6251-3092-5135-2138-983-2140-1007-7767-1618-3325-223-1571-4412-5775-1726-1974-2027-5920-7185-762-4382-4895-5808-1209-3765-6176-4679-3803-4286-7714-2995-2399--8001
4 60461.043 1992 8001-1544-2569-7833-1329-2146-1911-4397-2628-5604-408-5756-5073-6574-156-1794-7492-1827-3997-5361-3562-6637-6482-6298-7589-1972-769-1094-4301-155-2265-3211-5758-190-6621-643-1294-1836-3439--8001
5 17773.010 792 8001-1752-7720-1957-6486-2253-3688-510-6433-7586-2866-2526-1820-5414--8001
6 27080.993 992 8001-3692-7205-795-301-6312-519-5124-5723-5968-6963-2004-2542-1297-5411-6955-4936-4585--8001
7 54253.193 1942 8001-3867-7328-1399-716-2907-850-4959-4329-579-7020-102-3423-2372-6544-2519-5997-4269-3036-2622-6410-2272-3616-3925-587-4913-3358-182-1439-2990-5116-2558-6453-4047-2078-3757-7385-7337--8001
8 34569.530 1890 8001-4566-573-7558-2752-4526-5855-5780-1357-4393-5060-4273-268-6319-3963-1278-6187-7551-1284-2661-6655-3220-4538-3713-5032-5461-671-7860-7090-5034-6026-461-7345-490-6141--8001
9 47977.406 1845 8001-4646-796-3461-3240-5328-5529-6706-5255-3304-6470-3306-5404-3160-2493-1524-4909-977-138-4215-164-7600-549-6848-6375-932-6152-2194-1894-2070-996-6515-692-7299-5354-6253-4767-2614-2706--8001
10 13845.619 96 8001-5235--8001
11 26836.704 1333 8001-5685-3081-513-7615-6004-2917-1680-6210-2192-4829-3371-1134-1849-3727-1455-1185-825-7440-4785-4715-2920-6310-1631-5183-7444--8001
12 49079.552 1929 8001-5905-2087-3457-2154-2356-1169-943-2115-5596-269-4723-3486-869-514-382-3226-4112-5749-1058-543-4264-5641-20-6209-6688-2664-889-333-1019-2578-1896-6618-3955-4258-6744-979-4898-2046--8001
13 21785.803 1569 8001-6284-2464-937-5759-4042-1248-860-5646-7708-6183-4568-6446-5048-728-6510-2599-1707-1433-1690-3381-1952-263-6635-655-5513-4190-3630-2522-4108--8001
14 23809.915 1481 8001-6497-7875-2193-6049-2210-1569-2066-7156-6546-7917-7056-3816-4881-5869-3095-5643-2999-5686-7097-3180-4110-1700-6522-5357-3708-7219-2349-6219--8001
15 40893.748 1869 8001-6664-5200-2964-1800-7402-5956-1356-4580-4656-3186-912-4883-6590-1919-7994-1396-2408-1423-3471-5860-5944-6426-7387-4386-5691-6131-2756-7900-3214-5279-7446-3979-7495-1347-2305-2782-1411-3088--8001
16 33444.327 1369 8001-6844-2380-6006-1515-2851-45-5897-5142-7654-3212-6424-2633-1273-4955-1582-2061-2800-5294-6427-7230-6906-2646-4532-4681-32-4626--8001
17 26611.453 1232 8001-7870-5982-6587-2436-1096-7538-7906-5454-3150-939-6035-154-6565-4321-3557-3028-7036-1253-6709-4697--8001
18 23876.858 1971 8002-229-7768-5492-3031-4661-2450-5223-1588-1036-2994-1014-7981-4906-1632-2802-1397-2552-2609-2175-3795-7065-5049-7247-4089-2088-4721-3314-7938-3409-4884-4693-5069-1233-3678-6151-363-6894-4454--8002
19 15929.728 1896 8002-281-4780-4146-6405-7478-8-3337-299-1216-6078-7129-4747-2201-4581-6126-1385-6005-7225-5145-634-1648-4203-3873-7182-1476-7280-6198-3204-5136-6841-4658-6733-1928-585-2162-3931--8002
20 34733.822 1999 8002-414-6896-3644-6115-4076-5593-4644-7410-586-2649-4969-5164-7216-6045-3207-7275-4591-7364-6577-6849-1818-7676-2121-463-3118-5667-7030-4807-7619-6877-7528-1791-3074-727-3462-1438-1272-417--8002
21 14527.668 1592 8002-507-6847-609-1246-2719-3034-7956-5996-731-693-5618-5320-7807-7634-2437-3301-4242-4509-7002-6861-328-3771-5903-5201-2635-6475-5106--8002
22 15035.608 1384 8002-581-5221-5379-6600-358-5558-4366-4356-5181-777-342-6347-4142-7238-4099-5101-1383-4553-260-1314--8002
23 19855.255 1970 8002-657-4157-4928-6393-1089-3538-1184-1335-1586-3699-3253-4174-4447-7952-6607-6754-4871-5964-87-2263-3123-3012-5278-332-7272-1506-2243-4836-3797-4234-2370-3561-2342-2934-3142-6134-5851-7503-3351-2751-1649-7340-4704-7609--8002
24 23812.148 1983 8002-922-1949-7355-2195-2498-1133-7737-2259-826-595-7257-7622-1093-6090-7723-984-4446-2945-7010-7244-3172-1795-6254-941-1012-7306-3620-7190-1194-4922-2598-4677-529-3791-2968-7842-6374--8002
25 11725.622 1682 8002-1041-2867-5113-3154-4641-7091-1547-4872-1468-4592-7571-3363-5029-6957-4590-241-349-2948-3467-3104-4902-893-1326-4682-5916-1856-250-1943--8002
26 24340.212 1928 8002-1104-7469-5040-613-1305-7310-3209-2927-4789-2553-6878-4340-4793-5503-812-7955-2777-5681-5006-6221-767-702-2395-7766-5312-1597-5440-6389-7382-3416-4033-371-171-7479-5171-5199-5432-4503-2353-907-7213-6015-6413--8002
27 14675.255 1013 8002-1604-237-495-6303-686-1948-6053-3295-6188-7236-3476-1643-2022-4894-4857-4262-6772-4977-169-4134-694--8002
28 19797.316 1847 8002-1650-3148-7293-5322-2697-1983-7412-5290-4619-827-1264-2056-3812-7647-5788-4842-7112-5449-4298-4716-1334-7696-900-7392-6785-4614-77-3353-4941-3058-4326-7047-5225-1530-1167-3943-6103-683--8002
29 26414.735 1934 8002-1725-6677-6951-6690-5487-381-3323-1986-6054-2073-2794-2975-1751-364-6354-7163-3705-5516-4794-1069-7866-4675-6821-4044-5466-256-6736-5603-107-6399-5245-5729-5153-2966-3281-7976-7744-7447-1319--8002
30 18277.709 1998 8002-1754-6886-3726-1721-5129-2899-152-1973-2977-4798-2288-4997-1275-2016-2859-3452-6142-6540-6825-6973-7332-681-3299-1553-4558-1330-4741-6601-2190-6650-5488-7417-3849-6228--8002
31 25910.757 1990 8002-1829-5120-2340-5617-4979-309-3810-6192-4945-6167-6027-1101-6719-2997-7448-2021-4946-406-467-5836-5963-7783-3377-2901-7692-262-5155-6305-2223-4954-2242-6239-7003-4565-3117-7516-4036-6139-5910-2234--8002
32 24073.682 1813 8002-1864-4312-4346-6402-1179-5942-5952-4216-5159-2257-1979-2008-5480-6235-133-6898-4777-3411-2949-2062-4415-6519-5043-376-28-666-1034-7045-709-3126-4964-6337-6843-7623-7277-1813-6477-4912-4628--8002
33 25354.851 1983 8002-2416-5280-6014-7633-3376-2153-205-6318-5727-888-5983-725-4860-248-6036-4893-4819-7788-4237-2734-2009-4086-764-5463-4771-2224-4891-2157-7674-4549-7716-5871-4593-2093-1337-1280-1182-4958--8002
34 22922.227 1610 8002-2546-5648-790-401-7068-556-7916-2086-6805-989-1860-1565-6724-43-6945-5762-2741-5597-4343-7206-392-3174-2611-4654-4192-1237-6616-5898-7928-736-3752-2296-558-3119-1548-4259-3339-6654--8002
35 15183.090 1977 8002-2647-2807-2065-592-1969-4295-5401-5407-1842-4650-5389-6783-5598-3760-1889-6589-7175-3994-3850-5030-366-389-1092-2739-2215-5909-6331-756-3654-4797-6189-1580-7687-5680-3531-2126--8002
36 20725.053 1728 8002-2840-3552-2315-3241-1389-6334-2727-1018-7253-1825-1045-5803-940-7074-5940-4978-7241-3774-6550-7504-5817-4507-346-4849-4698-3477-862-6575-7488-1817-1796-2716-4093-5764-7311--8002
37 40711.612 1950 8002-2903-7343-4765-6521-483-179-1137-7384-6186-4371-672-5693-6418-1492-5919-2277-2654-6395-4114-1560-1006-1942-4859-2888-4362-1869-1164-6520-679-7931-6412-4116-3109-105-420-1776-6052-4394-4045-7360-2119-1030-2857--8002
38 29362.614 1995 8002-2905-7424-737-921-3311-3532-4128-324-1234-5999-5725-2532-329-2366-2010-5734-7296-2884-5009-2307-3542-2853-5518-7173-7254-1100-7697-234-6619-6956-2759-7445-2779-6775-1559-6809-7413-4602-1606--8002
39 21586.472 1930 8002-3203-676-4577-3568-7044-5670-870-2235-5698-3382-3270-451-6404-966-5954-5814-4120-1193-3139-7115-7087-1838-315-6478-1097-2485-4863-5921-4299-4296-933-1573-6023-4460-6164-2001-1136-4148-5382--8002
40 33413.657 1585 8002-3453-4153-2559-1717-7012-3492-1362-113-2391-4993-3817-5566-7118-1238-1270-473-7442-6362-1916-942-4737-1056-3-6579-6471-4131-2228-3404-3801-7803-4332-89--8002
