total_number_routes=173
total_route_len=5260810.529
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 16956.772 1311 6001-115-4330-1266-3063-3468-5525-719-3823-4215-4934-2505-4534-645-3658-4175-3231-3333-2364-4238-5737-1909-5320-698--6001
2 30030.173 1395 6001-325-529-2701-586-3862-2683-2661-3744-807-1660-213-2032-1594-5046-3369-1369-2744-1532-1620-533-2266-1496-1843-1615-3894-5091-1046-437-570-2778-1921--6001
3 32715.510 1820 6001-834-5798-3806-3696-1081-2642-219-5026-4178-1104-1767-3443-13-895-2732-3136-652-5423-4005-2422-5058-832-1487-4453-2079-2381-3394-5300-1194-4993-809-2268-1455-3130-4958-1449-4738-2952-1181--6001
4 24804.538 1984 6001-891-5545-4389-24-2488-3191-3575-1782-2924-1919-4329-4066-5479-3753-1802-5214-4783-5127-2861-2031-777-2457-476-1132-1739-2632-3517-5569-790-4378-5507-5509-5702--6001
5 23889.711 1858 6001-1113-4372-952-1391-1933-4648-532-2928-810-602-4220-5048-1923-2267-3923-4289-4-4730-3566-4643-2042-1869-3919-1698-1432-896-5459-3594--6001
6 45504.918 1215 6001-1358-5193-4861-681-1829-5746-1582-1320-5520-5670-5961-1244-5317-3067-2904-1884-885-920-3680-4044-3384-5527-2883-4733--6001
7 30852.396 1970 6001-1664-2759-1967-1439-5037-179-2940-1554-4071-3253-5045-4216-1758-2300-2562-4809-4322-4024-4991-1553-5416-3166-3081-2342-4969-3079-3248-5089-4562-650-3712-820-3238-152-781-2017-5133-811--6001
8 66264.069 1996 6001-1773-3088-3506-3937-866-2283-1027-1913-5802-2477-4750-4739-93-274-2754-3318-1174-5837-1700-1437-5269-4341-2466-1832-4317-1585-3660-4967-5907-4757-1120-963-3808-641-1613-1750-49-361-4046-2567-5312--6001
9 27493.068 1524 6001-1836-4872-400-3554-2371-3257-129-2132-4691-5686-1544-4873-5989-2851-502-948-1899-547-5671-2324-1727-1329-1287-4556-4227-386-5606-2213-5568-3788-3167-5643-1571-1563-2480--6001
10 41917.764 1320 6001-1918-4806-4779-548-220-3824-341-651-4661-3574-1246-4103-5803-560-2361-512-52-1597-4328-1974-737-3908-1322-1161-1129-1149-4668-1155--6001
11 48631.714 1372 6001-1983-803-5289-236-2093-119-3465-5152-2440-3779-4456-2272-1984-251-5804-2198-1411-5926-5954-4099-2948-124-1414-3581-3675-1769--6001
12 51399.584 1754 6001-2089-3768-3350-769-5867-5957-221-5170-1964-3412-5906-3072-5311-3883-4246-172-524-2105-969-3272-4519-1831-951-3632-4078-1573-5601-739-2597-3871-2517-5357-5226-5285-5153-1511-5279-5718--6001
13 29191.555 1997 6001-2096-3944-4974-5014-4636-3056-618-1037-329-3399-3112-4011-5642-1079-5029-2307-5714-2831-3927-987-316-691-5615-3459-2018-301-2544-953-5111-5122-46-5501-1982-5559-4373-566-4274-1366-626-3891--6001
14 34745.424 1910 6001-2261-2748-4195-21-99-4073-3469-5365-2086-307-3775-1126-153-5343-4860-1260-314-5093-4825-5777-5284-1207-1254-465-5139-5920-4902-1941-1064-886-3757-2194-620-5578-912-1543--6001
15 32841.262 1467 6001-2375-3372-1671-3137-922-5836-1209-744-3945-1364-2103-1014-4706-1427-736-3076-1743-1559-2427-964-4401-148-5489-5406-4769-3281-340-4104-3405-4865--6001
16 55850.661 1665 6001-2674-3875-3501-1372-2001-4471-3425-5667-2241-5541-183-1484-1857-4346-1713-5434-2847-3786-421-5401-4293-3100-3104-519-211-1976-3606-789-5069-2820-2453-627-3644-3057-5244-2839-1592-4884-4159-3094--6001
17 49910.137 1616 6001-2729-4197-2257-415-86-4316-5316-5215-5571-561-1652-5260-4279-4992-3881-4774-101-2091-2609-269-5888-1173-5972-1457-4352-5013-5493-5595-5483-2864-2932-4770-1673-1317--6001
18 38963.227 1989 6001-2944-3059-3819-4879-2957-4947-873-3485-4236-2365-5662-3829-149-5577-3792-5898-2015-2113-986-5759-801-5784-495-3428-320-3061-3423-835-5212-3000-3812-4427-306-4966-5344-3276--6001
19 50938.511 1657 6001-3017-3985-1943-5195-954-5869-2926-5693-3307-4576-4280-4920-2874-85-4796-1147-4231-4634-4125-1608-4325-4812-1617-5061-827-2451-1824-4713-3199-1924-5556--6001
20 23917.315 1837 6001-3110-3178-5573-715-5904-1684-4751-4843-1937-288-1097-3549-3125-418-5927-3679-4268-4009-390-2799-5647-3599-1283-3396-4393-2583-3940-1009-1215-4185-1931-2553--6001
21 31843.585 1951 6001-3185-4693-621-3247-4235-4477-3605-4075-18-137-5363-2598-5793-4359-3897-4004-504-1189-1674-16-1778-4949-5604-4793-5943-4646-1267-3243-5991-2493-1856-4051-2066-2959-3646-2691--6001
22 36463.040 1890 6001-3345-2077-5262-5717-3106-5172-5409-2571-876-4800-3348-894-492-2293-674-2059-2285-2577-3994-965-4438-2171-3820-2525-185-3521-3671-4528-5094-2092-141-1863-5304-5272-5876-1353-4550-2559--6001
23 45776.654 1811 6001-4145-162-2764-2965-4830-5912-1944-2434-5893-4760-4012-5531-1404-4616-2705-3051-989-1504-4513-234-5140-5729-5963-1121-4208-883-113-4363-1756-5521-1073-1435-1474-1318-684-2788-2686--6001
24 45196.188 1945 6001-4275-4747-2095-4705-1521-3717-2057-2534-644-2237-336-5612-5732-4538-1054-5339-3269-5860-3034-5754-167-4743-391-1436-1276-4881-5585-5022-5948-919-374-1249-160-291-4822--6001
25 32398.353 1991 6001-4396-2626-3179-3270-3929-5862-4416-1935-348-5403-2986-381-4617-3435-1354-70-84-643-5639-2876-5307-3454-3226-1168-4849-5443-5955-1392-690-2546-564-4866-268-145-3065-584-1302-718-1388-4294-2016--6001
26 41224.692 1788 6001-4621-5146-1545-406-4211-197-327-3915-3797-2978-5599-4939-750-1776-3075-2670-5376-3143-4285-4587-3588-1989-5757-237-933-3411-784-5229-3741-2545-869-544-450-4091-4815-3146-5885-3422--6001
27 34298.783 1965 6001-4736-4765-680-4179-4092-1788-3265-34-3642-5883-2800-4937-1764-1230-1400-662-3751-3299-2009-554-4332-3195-4163-840-3952-865-3408-5-3718-4547-5051-4083--6001
28 32337.094 1667 6001-4844-4594-2634-5621-1612-5956-1010-3939-5117-131-5306-334-5861-273-5616-2201-1111-1382-1771-3547-4164-1304-392-2232-2137-5846-4735-1575-4086-3920--6001
29 33640.483 1213 6001-4989-4436-5377-94-3922-3959-3290-5247-1491-2991-1915-3042-229-4568-4658-5132-2240-4226-3630-3859-1867-214--6001
30 13050.466 710 6001-5059-2760-3439-3662-2068-2325-3841-553-4467-4010-2854-5958--6001
31 21793.790 1431 6001-5090-4466-3659-5135-1648-5564-3163-3419-711-4891-4723-3449-416-658-859-751-4533-5923-2702-623-5333-2725-2069-5684-1499--6001
32 39569.322 1832 6001-5281-266-413-1460-2111-2491-187-4910-5799-3114-430-2075-527-3048-2630-3614-1241-3331-3706-5574-4368-178-2779-1666-3377-4652-1295-3813-5134-5448-2287-3782-710-970-977--6001
33 34818.219 940 6001-5314-2638-2351-5774-4527-2767-5809-2389-4681-5637-1196-1709-2841-632-438-2429-1854-5471-1881-5077-3091-5400--6001
34 37260.909 1781 6001-5326-763-4852-5733-2436-1169-938-1447-1031-981-1331-333-893-3473-1264-414-3446-760-5283-3118-1451-2984-4028-3598-3277-5188-917-1077--6001
35 35292.126 1674 6001-5387-5080-5068-4918-1060-146-5267-5796-2363-4692-990-3886-3214-1995-3840-1963-4387-4586-656-2745-4013-490-2247-4362-2184-4167-3803-767-1926-2231-3592--6001
36 22848.721 1818 6001-5418-5666-3410-4172-2894-1202-5456-407-3495-2752-579-3988-2366-4242-1999-3212-1873-2373-1052-1109-3537-5724-3983-4314-5288-772-4069-4833-3817-5361-1383--6001
37 50190.298 1923 6001-5866-3153-5655-3122-2314-4749-1478-2085-1699-1688-2431-3810-2789-4340-2895-4199-514-3033-2795-2295-1443-3593-2060-10-1855-5533-2238-5250-1130-313-4542-3354-612-1015-842-2459-729--6001
38 33546.171 1977 6002-6-1450-2796-4623-2357-1162-2623-5875-2401-1197-4442-5464-2203-4752-1043-206-1746-2372-4299-5710-5278-1622-5130-2322-833-1195-4746-79-5156-5496-5373-2352-1453-5929-4717-376-2211-1160--6002
39 47824.393 1434 6002-17-695-1987-2612-1038-5687-3310-4182-2673-1715-516-4194-2755-2849-1795-1032-2708-766-5118-3509-5322-2236-3914-1512-4089-250-3705-4464--6002
40 11202.395 885 6002-56-5975-1904-5452-2620-5497-4557-3750-2680-4887-4419-1883-3424-1337-3102-5516-3031-1412-4429-2566--6002
41 38277.403 1808 6002-290-1972-3845-2591-98-5870-1454-3935-5603-3471-2719-603-4388-1325-5567-5547-3336-2830-5375-58-5839-4944-3918-5532-395-870-3958-5358-2678-1812-3467-1505-5473-3165-3968-1020-2645-3044--6002
42 19801.203 1483 6002-332-4835-5145-480-2548-3807-2524-3320-1472-1492-4085-2489-277-567-4846-5565-1166-5822-3325-541-5036-2586-5081-4459-3301-685-1655-1152-3180-1034--6002
43 23911.815 1943 6002-347-3478-4077-4798-4255-4855-1850-2843-5498-285-5535-3746-4603-988-2327-1301-3332-4778-655-3154-7-2880-4402-4430-4913-2627-4117-1874-3590-3700-1562-1567-78-5062-2827-1711--6002
44 32540.612 1998 6002-498-1516-370-4228-3284-4703-1115-3380-1334-2146-5472-2083-976-5458-5164-2742-349-2593-3142-1953-4181-3563-796-1222-3116-2259-5282-3576-3379-5613-3391-3211-5180-2114-4579--6002
45 67952.001 1998 6002-563-5185-4149-2668-3220-5624-5763-5104-5319-5087-3150-520-4405-5115-1422-5626-3207-3005-1632-281-3760-3433-3800-151-4968-2916-5187-2563-2993-2492-4152-270-723-1718-3175-783-5865-209-442-117-3913-5236-3482-2925-3734-5167-2410-3752--6002
46 20397.153 1779 6002-572-4782-2746-5055-3759-12-2836-1975-263-3503-5973-3772-1536-1667-2994-411-3409-2110-3448-5417-3778-5827-4106-4074-4874-2341-4312-2964-352-4364-1068-1231-972-1240-3769--6002
47 29507.819 1780 6002-595-2541-3133-339-3613-1431-2503-4488-2209-3368-459-1390-2158-4015-2723-3020-3586-5685-5085-709-5645-198-757-4016-3685-2530-2921-5872-4183-764-2814-928-4156-88--6002
48 23684.488 1991 6002-786-2688-1396-1368-5060-4302-2163-3839-1679-190-3447-218-817-5680-5264-704-5419-2858-155-5294-2835-506-1658-2889-1272-1370-5240-1278-713-1539-3352-4714-5871-4698-2157-1282--6002
49 16232.156 1508 6002-1274-4420-1012-1183-5113-2376-1798-3926-5921-2333-3870-5032-661-2996-5994-2697-2304-3742-4649-3738-2284-1399-2470-5445-5299-5411-5510-2531-5148-3430-2360-1328-4067-36--6002
50 27396.697 1980 6002-1701-3834-596-5818-5342-4985-68-5243-4463-5083-3502-3162-2396-4210-2865-1723-4625-5159-4484-3312-5275-3292-3365-37-5699-2133-424-725-1891-3194-2648-4133-4301-5301-3401-3794-2595-2037-2390-3947--6002
51 32694.658 1863 6002-1865-322-4766-537-105-4143-4584-4878-773-4848-3431-3787-1546-4523-3603-1730-5630-5211-4763-808-2178-959-5641-1793-5581-5978-1049-2644-2834-539--6002
52 34984.742 1963 6002-1876-5239-5044-3609-5628-4250-3527-74-5730-3864-1420-292-3362-1394-665-233-742-369-1514-3901-722-3274-3962-5399-494-3500-3329-3463-2558-5753-1547-378-2270-5539-3239-4563-2939-1744-2793-1314-3558--6002
53 20633.050 1536 6002-1986-2656-4795-2386-3349-2297-1842-432-4343-4670-2550-298-2255-5676-4290-1175-4535-38-2062-3073-3340-583-5736-2561-858-2911-4826-484-4375-1607-3520-5506-4022-997-2704--6002
54 21608.484 1887 6002-2061-5049-372-5447-39-4804-3187-2142-1725-2547-1475-3126-5070-2020-3963-5696-2522-2125-4306-4137-5823-2131-4890-2432-5015-478-5197-5097-5825-2997-1468-1799-5801-1023-42--6002
55 27761.769 1983 6002-2063-1200-4213-2935-282-3358-1461-4942-1344-3743-998-5821-4819-4272-608-54-1387-121-3516-5144-2409-3652-3709-2253-3942-4786-1467-2438-4021-5095-5526-4659-2420-4740-3933-4112-1577-2399-4223-687-2088-1410-1018--6002
56 20412.457 1937 6002-2143-2557-2988-966-5557-754-1925-4136-4512-4589-2614-1537-4651-5709-5546-1145-795-5169-800-5946-2816-5237-1522-853-2374-2579-2621-2801-2720-299-804-1259-4098-3532--6002
57 23710.804 1927 6002-2305-4929-5141-15-3124-4896-2677-5370-192-1094-5223-2797-5000-588-4169-5171-1861-3327-1268-267-4859-3397-2348-1951-2733-4906-3604-2484-2189-1510-1753-5385-1903-328-3038-4385-4597-5951-3729-3289-408--6002
58 35724.916 1999 6002-2339-4122-1107-1333-351-283-1792-3585-5938-1150-714-5882-5125-944-2615-5570-107-1134-1033-3624-1830-4358-1309-4244-1071-5382-3002-3193-1063-4522-3669-4361-606-677-2832-4745-5488-4190-511-3989-2685-8--6002
59 22027.718 1410 6002-2356-5550-2448-868-3462-170-1624-4234-4604-1502-1421-323-3217-4492-5896-2713-1980-5584-1401-405-2640-4412-2478-1896-2072-2585-3445-4315-5402--6002
60 37786.504 1942 6002-2437-956-1965-3749-264-1153-2898-2353-3032-5231-4105-5586-4834-2224-1787-3534-546-4335-5925-4140-4476-278-3084-4433-3494-199-2707-5692-5248-1349-2128-4423-4431-1065-3427-3444-592-4171-5340-4776-396-5814-1825--6002
61 40283.794 1939 6002-2663-1347-4381-5704-4138-3565-4864-2258-4606-5020-3587-5353-637-363-2741-4124-4977-362-3016-2413-1929-4787-528-5261-1172-696-5364-184-4257-5758-3353-4065-3631-4087-530-1159--6002
62 19474.571 1826 6002-2887-5147-2821-1476-640-2202-562-4951-5421-4677-2728-3359-2391-536-4142-3756-1540-1205-5596-571-1834-1712-580-2425-2271-255-1348-1016-2024-4851-4921-5076-231-5433-5056-1609-1866-4802-2067--6002
63 19061.758 1981 6002-2908-4320-1397-4903-2034-3215-5817-4403-2979-5255-5495-3531-2370-2078-741-1310-4240-747-1708-2234-223-1281-771-4148-4214-3250-753-2523-5128-4853-1780-3141-3877-3767--6002
64 45490.069 1975 6002-2938-2573-5298-2188-3704-4475-2471-968-957-142-2643-3683-3392-2336-2328-1988-4018-207-177-3228-1271-4311-4321-77-5788-488-635-1143-5982-2569-2421-5646-5360-5105-4218-4472-2317-1662-5346-5173--6002
65 9620.618 884 6002-3097-3442-2251-5021-5594-470-1720-3619-2277-1389-2424-788-4023--6002
66 30476.055 1758 6002-3176-3282-4785-2743-5291-2871-5325-3232-1599-5820-5833-3510-3218-838-2527-1221-3795-1102-2937-1434-4034-3098-5182-5708-5039-3522-253-2856-3082-1356-4885-3831-2233-2121--6002
67 44723.319 1994 6002-3291-4880-5427-2828-397-1955-1286-1596-908-1737-4684-3203-1091-14-3809-3035-663-33-5625-2703-1250-3009-4719-1219-1642-915-1973-3627-3492-2624-2156-4669-2592-5800-2987-5227-5393-5263-1498-2775-5412-1998-204-3707--6002
68 26312.773 1969 6002-3426-5099-4635-1934-5219-733-1154-1138-573-3305-4276-1978-3287-3374-4365-2398-1070-5815-4608-2382-180-1682-1840-926-3982-2941-1185-657-3507-864-3029-4100-2050-161-565-19-4406-4870-4135-429-4978--6002
69 25077.637 1836 6002-3437-2817-296-1534-3987-830-910-5368-5884-3888-1981-1745-1098-4283-4775-4537-1858-4461-2603-5890-483-4079-4327-755-4748-3317-3386-1106-4976-4318-2977-3911-631-5868--6002
70 19951.330 1925 6002-3488-23-5787-4627-261-4270-3089-3956-2540-3977-1006-1949-1483-3151-3761-5002-1486-2082-828-2516-1997-2823-3008-4041-3569-3636-5770-4119-342-433-1920--6002
71 45943.573 1926 6002-3519-5761-482-902-271-3337-3123-5517-5392-4940-4901-3567-3513-4267-5786-2435-3183-778-5683-5163-5768-730-646-367-287-4671-3216-3356-4583-1519-1330-3458-1201-3161-1489-4813-5257-2596-272-3304-1506--6002
72 17387.192 1064 6002-3846-1614-5664-5482-4110-5830-5468-5665-4060-5466-5713-1299-2811-4061-4508-1417-106-575-3535-2646-200-5518-280-2220--6002
73 56432.112 1975 6002-3997-1821-2418-1245-1042-2469-4038-5441-2785-2712-4984-5203-4225-4496-3832-2980-1507-1093-1683-3314-3263-2218-3367-5303-1847-359-5707-3334-4599-5079-5712-5674-3622-1878-3145-4895-3728-4490-2011-2362-887-513-3904-2468--6002
74 18195.397 1569 6002-4349-4505-3687-4447-2405-4928-3798-3602-2866-227-615-732-5563-2679-543-343-3210-4307-3152-946-4754-2532-1089-4295-4575-3398-619-2329-3711-4943-317-4981-1875-1232--6002
75 38868.925 1990 6002-4454-3039-4511-4593-2628-321-4049-1148-1524-2756-4131-5967-1598-2608-1393-25-2772-2138-2181-4631-638-5198-756-1324-991-4470-2613-1184-3932-5747-4243-3197-1558-173-2700-2074-2599-1446-3618-1564-3285-1697-2080-1705-5580--6002
